region_id,region_name,period_begin,period_end,duration,median_sale_price
41884,"San Francisco, CA metro area",04-05-2020,10-05-2020,1 weeks,1495000
41884,"San Francisco, CA metro area",11-05-2020,17-05-2020,1 weeks,1500000
41884,"San Francisco, CA metro area",18-05-2020,24-05-2020,1 weeks,1512500
41884,"San Francisco, CA metro area",25-05-2020,31-05-2020,1 weeks,1482500
41884,"San Francisco, CA metro area",01-06-2020,07-06-2020,1 weeks,1555000
41884,"San Francisco, CA metro area",08-06-2020,14-06-2020,1 weeks,1538000
41884,"San Francisco, CA metro area",15-06-2020,21-06-2020,1 weeks,1500000
41884,"San Francisco, CA metro area",22-06-2020,28-06-2020,1 weeks,1550000
41884,"San Francisco, CA metro area",29-06-2020,05-07-2020,1 weeks,1445000
41884,"San Francisco, CA metro area",06-07-2020,12-07-2020,1 weeks,1435500
41884,"San Francisco, CA metro area",13-07-2020,19-07-2020,1 weeks,1575000
